Date,Price (USD/pound)
2022-12-12,1.6705
2022-12-13,1.679
2022-12-14,1.6815
2022-12-15,1.7175
2022-12-16,1.644
2022-12-19,1.643
2022-12-20,1.678
2022-12-21,1.6935
2022-12-22,1.689
2022-12-23,1.72
2022-12-27,1.6695
2022-12-28,1.7355
2022-12-29,1.7005
2022-12-30,1.673
2023-01-03,1.663
2023-01-04,1.613
2023-01-05,1.6055
2023-01-06,1.583
2023-01-09,1.5805
2023-01-10,1.509
2023-01-11,1.439
2023-01-12,1.494
2023-01-13,1.517
2023-01-17,1.511
2023-01-18,1.55
2023-01-19,1.546
2023-01-20,1.548
2023-01-23,1.5855
2023-01-24,1.5985
2023-01-25,1.6245
2023-01-26,1.6715
2023-01-27,1.699
2023-01-30,1.704
2023-01-31,1.8175
2023-02-01,1.759
2023-02-02,1.779
2023-02-03,1.728
2023-02-06,1.757
2023-02-07,1.7705
2023-02-08,1.756
2023-02-09,1.7365
2023-02-10,1.7475
2023-02-13,1.7705
2023-02-14,1.8355
2023-02-15,1.7685
2023-02-16,1.807
2023-02-17,1.8575
2023-02-21,1.8985
2023-02-22,1.9335
2023-02-23,1.897
2023-02-24,1.877
2023-02-27,1.8645
2023-02-28,1.863
2023-03-01,1.8355
2023-03-02,1.822
2023-03-03,1.7785
2023-03-06,1.803
2023-03-07,1.8255
2023-03-08,1.7735
2023-03-09,1.7505
2023-03-10,1.778
2023-03-13,1.792
2023-03-14,1.7545
2023-03-15,1.726
2023-03-16,1.8005
2023-03-17,1.766
2023-03-20,1.785
2023-03-21,1.803
2023-03-22,1.78
2023-03-23,1.743
2023-03-24,1.7925
2023-03-27,1.769
2023-03-28,1.7375
2023-03-29,1.697
2023-03-30,1.698
2023-03-31,1.705
2023-04-03,1.7625
2023-04-04,1.7485
2023-04-05,1.8015
2023-04-06,1.836
2023-04-10,1.826
2023-04-11,1.905
2023-04-12,1.9025
2023-04-13,1.961
2023-04-14,1.934
2023-04-17,2.01
2023-04-18,2.0525
2023-04-19,2.0255
2023-04-20,1.939
2023-04-21,1.9145
2023-04-24,1.9345
2023-04-25,1.884
2023-04-26,1.916
2023-04-27,1.882
2023-04-28,1.8595
2023-05-01,1.856
2023-05-02,1.8675
2023-05-03,1.855
2023-05-04,1.8295
2023-05-05,1.8805
2023-05-08,1.8395
2023-05-09,1.865
2023-05-10,1.8595
2023-05-11,1.83
2023-05-12,1.8285
2023-05-15,1.894
2023-05-16,1.868
2023-05-17,1.8605
2023-05-18,1.8665
2023-05-19,1.92
2023-05-22,1.892
2023-05-23,1.8745
2023-05-24,1.88
2023-05-25,1.827
2023-05-26,1.816
2023-05-30,1.771
